班级,学生,题号,知识点,得分,满分
七年级1班,陈一,1,有理数运算,5,5
七年级1班,陈一,2,整式加减,4,5
七年级1班,陈一,3,一元一次方程,6,8
七年级1班,陈一,4,几何图形初步,3,8
七年级1班,陈一,5,数据统计,4,4
七年级1班,李明,1,有理数运算,4,5
七年级1班,李明,2,整式加减,3,5
七年级1班,李明,3,一元一次方程,5,8
七年级1班,李明,4,几何图形初步,2,8
七年级1班,李明,5,数据统计,3,4
七年级1班,王悦,1,有理数运算,5,5
七年级1班,王悦,2,整式加减,5,5
七年级1班,王悦,3,一元一次方程,7,8
七年级1班,王悦,4,几何图形初步,5,8
七年级1班,王悦,5,数据统计,4,4
七年级1班,赵航,1,有理数运算,3,5
七年级1班,赵航,2,整式加减,2,5
七年级1班,赵航,3,一元一次方程,4,8
七年级1班,赵航,4,几何图形初步,1,8
七年级1班,赵航,5,数据统计,2,4
七年级2班,刘洋,1,有理数运算,5,5
七年级2班,刘洋,2,整式加减,4,5
七年级2班,刘洋,3,一元一次方程,7,8
七年级2班,刘洋,4,几何图形初步,4,8
七年级2班,刘洋,5,数据统计,4,4
七年级2班,周宁,1,有理数运算,4,5
七年级2班,周宁,2,整式加减,4,5
七年级2班,周宁,3,一元一次方程,6,8
七年级2班,周宁,4,几何图形初步,3,8
七年级2班,周宁,5,数据统计,3,4
七年级2班,孙琪,1,有理数运算,5,5
七年级2班,孙琪,2,整式加减,5,5
七年级2班,孙琪,3,一元一次方程,8,8
七年级2班,孙琪,4,几何图形初步,6,8
七年级2班,孙琪,5,数据统计,4,4
七年级2班,马远,1,有理数运算,3,5
七年级2班,马远,2,整式加减,3,5
七年级2班,马远,3,一元一次方程,5,8
七年级2班,马远,4,几何图形初步,2,8
七年级2班,马远,5,数据统计,3,4
七年级3班,高然,1,有理数运算,4,5
七年级3班,高然,2,整式加减,3,5
七年级3班,高然,3,一元一次方程,6,8
七年级3班,高然,4,几何图形初步,2,8
七年级3班,高然,5,数据统计,4,4
七年级3班,何雨,1,有理数运算,5,5
七年级3班,何雨,2,整式加减,4,5
七年级3班,何雨,3,一元一次方程,6,8
七年级3班,何雨,4,几何图形初步,3,8
七年级3班,何雨,5,数据统计,4,4
七年级3班,许诺,1,有理数运算,4,5
七年级3班,许诺,2,整式加减,2,5
七年级3班,许诺,3,一元一次方程,4,8
七年级3班,许诺,4,几何图形初步,1,8
七年级3班,许诺,5,数据统计,2,4
七年级3班,郑楠,1,有理数运算,5,5
七年级3班,郑楠,2,整式加减,5,5
七年级3班,郑楠,3,一元一次方程,7,8
七年级3班,郑楠,4,几何图形初步,4,8
七年级3班,郑楠,5,数据统计,4,4
